movie_id,title,genre,release_date,rating,studio,runtime_minutes,budget,domestic_gross,international_gross,total_gross,imdb_rating,tickets_sold,tickets_available,release_year,release_month,profit,roi,budget_category,performance
1,Mysterious Mystery Returns,Horror,2019-10-24,PG,Warner Bros,132,10060223,55149576,124792187,179941763,8.8,6406356,216,2019,10,169881540,1688.65,Medium Budget,Major Success
2,Amazing Adventure III,Fantasy,2024-03-30,G,Netflix,114,10546748,61188299,105840200,167028499,7.7,5179045,112,2024,3,156481751,1483.7,Medium Budget,Major Success
3,Lost Destiny II,Thriller,2018-05-13,PG-13,Paramount,108,15287713,10042860,24161803,34204663,5.8,969747,47,2018,5,18916950,123.74,Medium Budget,Profit
4,Hidden Mystery,Fantasy,2021-07-01,PG-13,Universal Pictures,126,2557521,1391793,2059438,3451231,5.7,93965,193,2021,7,893710,34.94,Low Budget,Profit
5,Incredible Dreams Rising,Fantasy,2021-10-19,PG,Warner Bros,94,23725873,6319311,5064145,11383456,4.4,630310,40,2021,10,-12342417,-52.02,Medium Budget,Major Loss
6,Dangerous Quest,Romance,2022-02-11,R,20th Century Fox,156,7090197,8111117,8772947,16884064,4.4,639112,359,2022,2,9793867,138.13,Low Budget,Profit
7,Mysterious Warrior III,Horror,2024-09-25,PG,Lionsgate,106,9928526,5741338,14221015,19962353,7.1,460043,285,2024,9,10033827,101.06,Low Budget,Profit
8,Dark Warrior,Horror,2016-08-06,G,20th Century Fox,104,6637900,6924641,3085723,10010364,9.3,481146,290,2016,8,3372464,50.81,Low Budget,Profit
9,Fantastic Chronicles Reloaded,Animation,2022-05-18,PG,Paramount,119,3085699,6944604,13465418,20410022,4.7,589883,382,2022,5,17324323,561.44,Low Budget,Profit
10,Secret Saga,Sci-Fi,2022-06-10,PG,Disney,125,2441588,1477132,738567,2215699,6.8,177330,56,2022,6,-225889,-9.25,Low Budget,Loss
11,Ultimate Warrior Reloaded,Thriller,2016-09-22,R,Amazon Studios,138,10547171,37453650,54834074,92287724,6.0,2531071,440,2016,9,81740553,775.0,Medium Budget,Major Success
12,Amazing Warrior,Romance,2024-10-12,PG-13,Warner Bros,83,5623810,5418611,3510973,8929584,8.1,675408,369,2024,10,3305774,58.78,Low Budget,Profit
13,Fantastic Journey,Documentary,2018-09-08,G,Paramount,128,1524168,7262333,10289697,17552030,5.9,773215,191,2018,9,16027862,1051.58,Low Budget,Profit
14,Wild Legacy,Action,2024-09-01,NC-17,20th Century Fox,103,24572571,152273332,83157836,235431168,7.9,14445999,425,2024,9,210858597,858.11,Medium Budget,Major Success
15,Wild Journey III,Comedy,2025-04-19,G,Lionsgate,99,6522626,30487431,74741945,105229376,8.0,2599333,64,2025,4,98706750,1513.3,Low Budget,Major Success
16,Ultimate Warrior,Drama,2024-12-31,PG-13,Netflix,108,7380419,8674891,10677953,19352844,4.7,914823,276,2024,12,11972425,162.22,Low Budget,Profit
17,Wild Guardian,Thriller,2020-12-13,PG-13,Lionsgate,140,34492070,117105631,151449142,268554773,8.0,12028921,32,2020,12,234062703,678.6,Medium Budget,Major Success
18,Epic Adventure,Fantasy,2019-07-24,PG,Universal Pictures,129,9090219,9765719,16488698,26254417,8.8,1016987,463,2019,7,17164198,188.82,Low Budget,Profit
19,Amazing Empire,Horror,2024-05-23,PG-13,Lionsgate,119,42484236,3866673,2285536,6152209,7.7,265776,292,2024,5,-36332027,-85.52,Medium Budget,Major Loss
20,Secret Tales Reloaded,Horror,2022-07-28,G,Warner Bros,122,8566389,26351460,28445205,54796665,3.5,2422517,442,2022,7,46230276,539.67,Low Budget,Profit
21,Fantastic Adventure,Action,2017-04-27,R,20th Century Fox,114,19050000,275754737,149015618,424770355,5.7,29520488,274,2017,4,405720355,2129.77,Medium Budget,Major Success
22,Lost Legacy,Animation,2020-05-20,PG,Warner Bros,99,6994307,35830714,78647271,114477985,7.0,3023108,25,2020,5,107483678,1536.73,Low Budget,Major Success
23,Mysterious Dreams,Horror,2017-03-26,PG,MGM,106,14846392,35987634,27719261,63706895,8.0,3329943,30,2017,3,48860503,329.11,Medium Budget,Profit
24,Ultimate Saga Reloaded,Animation,2020-02-27,PG-13,MGM,102,6403388,12711054,24241399,36952453,4.3,942709,338,2020,2,30549065,477.08,Low Budget,Profit
25,Fantastic Tales Returns,Action,2019-05-08,NC-17,Netflix,127,17305248,12408010,12283068,24691078,6.1,1485811,244,2019,5,7385830,42.68,Medium Budget,Profit
26,Golden Empire,Documentary,2016-08-12,G,Disney,84,7585271,3983463,1790621,5774084,5.3,283869,206,2016,8,-1811187,-23.88,Low Budget,Loss
27,Incredible Destiny Rising,Fantasy,2016-04-28,G,MGM,115,19965492,368742491,569153751,937896242,6.8,36099591,133,2016,4,917930750,4597.59,Medium Budget,Major Success
28,Dark Warrior,Romance,2019-09-16,R,Disney,126,10723180,4487414,4307888,8795302,6.5,439372,384,2019,9,-1927878,-17.98,Medium Budget,Loss
29,Incredible Adventure,Comedy,2025-03-23,G,Netflix,121,104348009,107269159,94765963,202035122,7.0,7381168,451,2025,3,97687113,93.62,Blockbuster,Major Success
30,Incredible Quest,Animation,2018-05-01,NC-17,Paramount,119,2761603,22868109,56527969,79396078,7.6,1818127,4,2018,5,76634475,2775.0,Low Budget,Major Success
31,Mysterious Empire,Drama,2017-05-29,PG-13,Warner Bros,139,4652786,68379573,132199370,200578943,4.4,7524048,144,2017,5,195926157,4210.94,Low Budget,Major Success
32,Secret Quest,Romance,2019-02-10,NC-17,Lionsgate,134,79435475,40679020,93478350,134157370,5.7,4868478,324,2019,2,54721895,68.89,High Budget,Major Success
33,Hidden Empire II,Drama,2021-04-27,PG-13,Disney,122,6982297,4582656,6936752,11519408,6.6,416839,4,2021,4,4537111,64.98,Low Budget,Profit
34,Incredible Mystery,Documentary,2018-03-08,G,20th Century Fox,93,14268893,14444917,9039720,23484637,8.8,1624462,157,2018,3,9215744,64.59,Medium Budget,Profit
35,Epic Kingdom,Sci-Fi,2016-04-28,PG,Sony Pictures,100,9659028,61756150,66578872,128335022,4.7,5181239,447,2016,4,118675994,1228.65,Low Budget,Major Success
36,Hidden Destiny,Drama,2019-09-04,PG,MGM,125,32839504,3861270,7415344,11276614,6.8,373962,476,2019,9,-21562890,-65.66,Medium Budget,Major Loss
37,Hidden Kingdom,Romance,2019-11-14,PG,Warner Bros,126,25246223,13475743,5190777,18666520,4.5,1193089,102,2019,11,-6579703,-26.06,Medium Budget,Loss
38,Dangerous Tales,Horror,2019-07-09,G,Sony Pictures,133,11958880,29107358,26572885,55680243,7.0,3430066,395,2019,7,43721363,365.6,Medium Budget,Profit
39,Brilliant Chronicles,Documentary,2022-06-12,PG-13,Universal Pictures,102,14572080,17653211,42983474,60636685,5.4,1908460,492,2022,6,46064605,316.12,Medium Budget,Profit
40,Brilliant Adventure Reloaded,Sci-Fi,2021-07-12,R,Amazon Studios,166,21408487,25658852,14225799,39884651,7.5,1794760,97,2021,7,18476164,86.3,Medium Budget,Profit
41,Brilliant Adventure,Documentary,2015-09-04,NC-17,Sony Pictures,95,19522624,110370547,50101869,160472416,5.3,8725176,169,2015,9,140949792,721.98,Medium Budget,Major Success
42,Secret Chronicles,Romance,2017-10-07,NC-17,Paramount,144,13427037,86579565,88103572,174683137,9.3,6721776,283,2017,10,161256100,1200.98,Medium Budget,Major Success
43,Ultimate Quest,Drama,2022-02-04,NC-17,Amazon Studios,113,4181848,2668819,4017805,6686624,5.3,333483,146,2022,2,2504776,59.9,Low Budget,Profit
44,Dark Saga,Animation,2021-02-16,R,Lionsgate,118,12498909,47218896,67267226,114486122,7.7,3483208,491,2021,2,101987213,815.97,Medium Budget,Major Success
45,Wild Guardian II,Documentary,2020-06-22,NC-17,20th Century Fox,120,38016623,24124815,57764439,81889254,10.0,2501515,158,2020,6,43872631,115.4,Medium Budget,Profit
46,Dark Kingdom II,Horror,2016-06-07,R,Amazon Studios,135,3770968,4489626,2066225,6555851,7.2,411851,322,2016,6,2784883,73.85,Low Budget,Profit
47,Secret Quest,Animation,2022-03-07,R,Sony Pictures,114,18146721,29609420,53675047,83284467,6.4,2078055,440,2022,3,65137746,358.95,Medium Budget,Major Success
48,Wild Mystery,Drama,2019-05-15,NC-17,Lionsgate,98,1953538,844691,716497,1561188,7.8,60601,233,2019,5,-392350,-20.08,Low Budget,Loss
49,Ultimate Kingdom,Documentary,2024-09-06,NC-17,20th Century Fox,125,2556785,11629282,26295400,37924682,7.1,946349,368,2024,9,35367897,1383.3,Low Budget,Profit
50,Golden Saga,Animation,2024-12-19,PG,Lionsgate,97,10362717,22794105,44537605,67331710,4.8,1642340,141,2024,12,56968993,549.75,Medium Budget,Major Success
51,Wild Kingdom,Romance,2019-09-19,R,Warner Bros,128,20239542,179188271,146197178,325385449,8.1,17311316,457,2019,9,305145907,1507.67,Medium Budget,Major Success
52,Golden Mystery III,Drama,2022-03-01,PG,Warner Bros,85,4522335,14775013,15187812,29962825,7.3,1311996,31,2022,3,25440490,562.55,Low Budget,Profit
53,Dark Empire,Action,2025-08-01,NC-17,MGM,132,300000000,1151864271,2734562231,3886426502,8.2,114155731,199,2025,8,3586426502,1195.48,Blockbuster,Major Success
54,Dangerous Empire,Fantasy,2024-12-08,PG,Lionsgate,143,25568108,23653196,29775569,53428765,7.6,2883420,172,2024,12,27860657,108.97,Medium Budget,Profit
55,Mysterious Warrior,Animation,2018-06-15,PG,Amazon Studios,100,7012335,10226248,23471729,33697977,6.6,842134,339,2018,6,26685642,380.55,Low Budget,Profit
56,Amazing Mystery,Animation,2017-12-15,PG,Universal Pictures,177,1785303,5001940,5102858,10104798,4.1,447284,172,2017,12,8319495,466.0,Low Budget,Profit
57,Wild Saga Reloaded,Comedy,2019-12-09,R,Universal Pictures,108,34322609,114254128,47368429,161622557,4.9,7791769,114,2019,12,127299948,370.89,Medium Budget,Major Success
58,Mysterious Mystery,Action,2016-05-01,PG,Sony Pictures,102,26299562,43548367,72592447,116140814,6.8,4503536,242,2016,5,89841252,341.61,Medium Budget,Major Success
59,Mysterious Mystery,Animation,2019-05-10,PG-13,20th Century Fox,121,4631538,42969720,70296076,113265796,7.5,3246555,58,2019,5,108634258,2345.53,Low Budget,Major Success
60,Wild Empire Returns,Fantasy,2017-06-26,G,Paramount,80,16061239,20842828,47889680,68732508,7.8,1961281,482,2017,6,52671269,327.94,Medium Budget,Major Success
61,Fantastic Quest III,Romance,2017-05-19,NC-17,Warner Bros,100,10299725,56093361,86667138,142760499,7.8,6768442,272,2017,5,132460774,1286.06,Medium Budget,Major Success
62,Hidden Warrior,Sci-Fi,2024-04-03,G,MGM,89,9539616,20042170,10666152,30708322,5.5,1361050,325,2024,4,21168706,221.9,Low Budget,Profit
63,Dangerous Tales,Drama,2023-01-21,NC-17,Paramount,164,13322724,10027114,23294578,33321692,7.9,747038,238,2023,1,19998968,150.11,Medium Budget,Profit
64,Hidden Empire,Sci-Fi,2020-03-18,PG,Warner Bros,173,48656435,15719758,20306223,36025981,5.8,1186098,291,2020,3,-12630454,-25.96,Medium Budget,Major Loss
65,Secret Warrior,Animation,2016-02-19,PG-13,Disney,151,5692697,19577422,21155654,40733076,7.7,1995971,143,2016,2,35040379,615.53,Low Budget,Profit
66,Secret Guardian,Action,2025-02-06,NC-17,Sony Pictures,96,12558895,392811,740120,1132931,5.0,34396,388,2025,2,-11425964,-90.98,Medium Budget,Major Loss
67,Dark Guardian,Animation,2023-12-30,G,Warner Bros,113,3317032,25962021,30886561,56848582,4.4,2675631,339,2023,12,53531550,1613.84,Low Budget,Major Success
68,Secret Chronicles,Sci-Fi,2024-09-05,R,Netflix,108,15190878,106425100,196490626,302915726,4.3,10753904,128,2024,9,287724848,1894.06,Medium Budget,Major Success
69,Dark Mystery,Comedy,2021-01-05,NC-17,Disney,149,11670762,5118789,9853311,14972100,7.2,515202,301,2021,1,3301338,28.29,Medium Budget,Profit
70,Wild Dreams,Horror,2017-05-10,PG-13,Sony Pictures,124,4875743,9217823,8895094,18112917,5.9,711464,64,2017,5,13237174,271.49,Low Budget,Profit
71,Brilliant Adventure,Romance,2025-01-22,PG,Lionsgate,122,17229449,72292226,23638393,95930619,4.6,7236187,245,2025,1,78701170,456.78,Medium Budget,Major Success
